run_id,model,signal,n_windows,n_violated,n_missing_signal,auroc,auroc_lead3
t1_apa_seed1,dsllama-8b,z_m,154,55,0,0.9806244260789715,0.9587991345113596
t1_apa_seed1,dsllama-8b,queue_len,154,55,0,0.9744719926538108,0.9469888207717274
t1_apa_seed1,dsllama-8b,decode_tps,154,55,0,0.7827364554637282,0.7485575189325641
t1_apa_seed1,dsllama-8b,prefill_tps,154,55,0,0.7818181818181819,0.7476559682654165
t1_apa_seed1,dsqwen-14b,z_m,155,0,0,,
t1_apa_seed1,dsqwen-14b,queue_len,155,0,0,,
t1_apa_seed1,dsqwen-14b,decode_tps,155,0,0,,
t1_apa_seed1,dsqwen-14b,prefill_tps,155,0,0,,
t1_apa_seed1,dsqwen-7b,z_m,154,67,0,0.9950248756218906,0.9891304347826086
t1_apa_seed1,dsqwen-7b,queue_len,154,67,0,0.9972551037913879,0.977311939268461
t1_apa_seed1,dsqwen-7b,decode_tps,154,67,0,0.9513638703036541,0.9178743961352657
t1_apa_seed1,dsqwen-7b,prefill_tps,154,67,0,0.9513638703036541,0.9178743961352657
t2_apa_seed1,dsllama-8b,z_m,219,79,0,0.828887884267631,0.8047731859261209
t2_apa_seed1,dsllama-8b,queue_len,219,79,0,0.9004972875226039,0.8892691059050627
t2_apa_seed1,dsllama-8b,decode_tps,219,79,0,0.6726039783001808,0.6375800649293674
t2_apa_seed1,dsllama-8b,prefill_tps,219,79,0,0.6707956600361664,0.635430376414846
t2_apa_seed1,dsqwen-14b,z_m,218,0,0,,
t2_apa_seed1,dsqwen-14b,queue_len,218,0,0,,
t2_apa_seed1,dsqwen-14b,decode_tps,218,0,0,,
t2_apa_seed1,dsqwen-14b,prefill_tps,218,0,0,,
t2_apa_seed1,dsqwen-7b,z_m,218,111,0,0.9733939547023659,0.9384484228473998
t2_apa_seed1,dsqwen-7b,queue_len,218,111,0,0.9699840026942831,0.931074168797954
t2_apa_seed1,dsqwen-7b,decode_tps,218,111,0,0.8730740085880273,0.8297953964194373
t2_apa_seed1,dsqwen-7b,prefill_tps,218,111,0,0.8728214195503915,0.829539641943734
t3_apa_seed1,dsllama-8b,z_m,212,12,0,0.42583333333333334,0.3645833333333333
t3_apa_seed1,dsllama-8b,queue_len,212,12,0,0.36895833333333333,0.4621794871794872
t3_apa_seed1,dsllama-8b,decode_tps,212,12,0,0.37854166666666667,0.5259615384615385
t3_apa_seed1,dsllama-8b,prefill_tps,212,12,0,0.37854166666666667,0.5259615384615385
t3_apa_seed1,dsqwen-14b,z_m,212,0,0,,
t3_apa_seed1,dsqwen-14b,queue_len,212,0,0,,
t3_apa_seed1,dsqwen-14b,decode_tps,212,0,0,,
t3_apa_seed1,dsqwen-14b,prefill_tps,212,0,0,,
t3_apa_seed1,dsqwen-7b,z_m,212,180,0,0.9873263888888889,0.9855509355509355
t3_apa_seed1,dsqwen-7b,queue_len,212,180,0,0.9847222222222223,0.9799376299376299
t3_apa_seed1,dsqwen-7b,decode_tps,212,180,0,0.8777777777777778,0.8337837837837838
t3_apa_seed1,dsqwen-7b,prefill_tps,212,180,0,0.7975694444444444,0.8346153846153846
t4_apa_seed1,dsllama-8b,z_m,142,9,0,0.97953216374269,0.9230769230769231
t4_apa_seed1,dsllama-8b,queue_len,142,9,0,0.9172932330827067,0.7916083916083916
t4_apa_seed1,dsllama-8b,decode_tps,142,9,0,0.49331662489557226,0.36538461538461536
t4_apa_seed1,dsllama-8b,prefill_tps,142,9,0,0.49331662489557226,0.36538461538461536
t4_apa_seed1,dsqwen-14b,z_m,142,4,0,0.31068840579710144,0.291358024691358
t4_apa_seed1,dsqwen-14b,queue_len,142,4,0,0.6014492753623188,0.458641975308642
t4_apa_seed1,dsqwen-14b,decode_tps,142,4,0,0.6793478260869565,0.5851851851851851
t4_apa_seed1,dsqwen-14b,prefill_tps,142,4,0,0.6793478260869565,0.5851851851851851
t4_apa_seed1,dsqwen-7b,z_m,143,45,0,0.9744897959183674,0.9605003291639236
t4_apa_seed1,dsqwen-7b,queue_len,143,45,0,0.9630385487528345,0.9182576256308975
t4_apa_seed1,dsqwen-7b,decode_tps,143,45,0,0.7882086167800454,0.7351327627825324
t4_apa_seed1,dsqwen-7b,prefill_tps,143,45,0,0.7866213151927438,0.7335966644722405
t5_apa_seed1,dsllama-8b,z_m,174,6,0,0.2728174603174603,0.2431818181818182
t5_apa_seed1,dsllama-8b,queue_len,174,6,0,0.36259920634920634,0.4625
t5_apa_seed1,dsllama-8b,decode_tps,174,6,0,0.4965277777777778,0.5018939393939394
t5_apa_seed1,dsllama-8b,prefill_tps,174,6,0,0.4965277777777778,0.5018939393939394
t5_apa_seed1,dsqwen-14b,z_m,175,144,0,0.9971998207885304,0.9888698630136986
t5_apa_seed1,dsqwen-14b,queue_len,175,144,0,0.9971998207885304,0.988380626223092
t5_apa_seed1,dsqwen-14b,decode_tps,175,144,0,0.9280913978494624,0.8954256360078278
t5_apa_seed1,dsqwen-14b,prefill_tps,175,144,0,0.9278673835125448,0.8951810176125244
t5_apa_seed1,dsqwen-7b,z_m,174,0,0,,
t5_apa_seed1,dsqwen-7b,queue_len,174,0,0,,
t5_apa_seed1,dsqwen-7b,decode_tps,174,0,0,,
t5_apa_seed1,dsqwen-7b,prefill_tps,174,0,0,,
t6_apa_seed1,dsllama-8b,z_m,167,0,0,,
t6_apa_seed1,dsllama-8b,queue_len,167,0,0,,
t6_apa_seed1,dsllama-8b,decode_tps,167,0,0,,
t6_apa_seed1,dsllama-8b,prefill_tps,167,0,0,,
t6_apa_seed1,dsqwen-14b,z_m,167,0,0,,
t6_apa_seed1,dsqwen-14b,queue_len,167,0,0,,
t6_apa_seed1,dsqwen-14b,decode_tps,167,0,0,,
t6_apa_seed1,dsqwen-14b,prefill_tps,167,0,0,,
t6_apa_seed1,dsqwen-7b,z_m,167,16,0,0.8340231788079471,0.9147869674185464
t6_apa_seed1,dsqwen-7b,queue_len,167,16,0,0.4449503311258278,0.525420694593627
t6_apa_seed1,dsqwen-7b,decode_tps,167,16,0,0.4108029801324503,0.42857142857142855
t6_apa_seed1,dsqwen-7b,prefill_tps,167,16,0,0.4108029801324503,0.42857142857142855
t7_apa_seed1,dsllama-8b,z_m,218,100,0,0.8423728813559322,0.8430173292558614
t7_apa_seed1,dsllama-8b,queue_len,218,100,0,0.9074152542372881,0.8987852531430514
t7_apa_seed1,dsllama-8b,decode_tps,218,100,0,0.6794915254237288,0.6887529731566429
t7_apa_seed1,dsllama-8b,prefill_tps,218,100,0,0.6779237288135593,0.6874787631668365
t7_apa_seed1,dsqwen-14b,z_m,219,0,0,,
t7_apa_seed1,dsqwen-14b,queue_len,219,0,0,,
t7_apa_seed1,dsqwen-14b,decode_tps,219,0,0,,
t7_apa_seed1,dsqwen-14b,prefill_tps,219,0,0,,
t7_apa_seed1,dsqwen-7b,z_m,218,114,0,0.9772267206477733,0.9499229583975347
t7_apa_seed1,dsqwen-7b,queue_len,218,114,0,0.9776906207827261,0.9473121040917651
t7_apa_seed1,dsqwen-7b,decode_tps,218,114,0,0.8930921052631579,0.8539205615476801
t7_apa_seed1,dsqwen-7b,prefill_tps,218,114,0,0.8930921052631579,0.8539205615476801
t8_apa_seed1,dsllama-8b,z_m,219,142,0,0.8283336381927932,0.7630801687763713
t8_apa_seed1,dsllama-8b,queue_len,219,142,0,0.8483171757819645,0.7758966244725738
t8_apa_seed1,dsllama-8b,decode_tps,219,142,0,0.7845253338211085,0.7399789029535865
t8_apa_seed1,dsllama-8b,prefill_tps,219,142,0,0.79449423815621,0.740295358649789
t8_apa_seed1,dsqwen-14b,z_m,218,0,0,,
t8_apa_seed1,dsqwen-14b,queue_len,218,0,0,,
t8_apa_seed1,dsqwen-14b,decode_tps,218,0,0,,
t8_apa_seed1,dsqwen-14b,prefill_tps,218,0,0,,
t8_apa_seed1,dsqwen-7b,z_m,218,130,0,0.9012674825174826,0.8604302832244008
t8_apa_seed1,dsqwen-7b,queue_len,218,130,0,0.9443618881118881,0.9238834422657952
t8_apa_seed1,dsqwen-7b,decode_tps,218,130,0,0.7458916083916084,0.6957153231663036
t8_apa_seed1,dsqwen-7b,prefill_tps,218,130,0,0.7786276223776224,0.7308006535947712
t9_apa_seed1,dsllama-8b,z_m,218,40,0,0.8767556179775281,0.8623279098873592
t9_apa_seed1,dsllama-8b,queue_len,218,40,0,0.9265449438202247,0.9153942428035043
t9_apa_seed1,dsllama-8b,decode_tps,218,40,0,0.8214185393258427,0.8077596996245306
t9_apa_seed1,dsllama-8b,prefill_tps,218,40,0,0.8155196629213484,0.7957446808510639
t9_apa_seed1,dsqwen-14b,z_m,218,0,0,,
t9_apa_seed1,dsqwen-14b,queue_len,218,0,0,,
t9_apa_seed1,dsqwen-14b,decode_tps,218,0,0,,
t9_apa_seed1,dsqwen-14b,prefill_tps,218,0,0,,
t9_apa_seed1,dsqwen-7b,z_m,218,0,0,,
t9_apa_seed1,dsqwen-7b,queue_len,218,0,0,,
t9_apa_seed1,dsqwen-7b,decode_tps,218,0,0,,
t9_apa_seed1,dsqwen-7b,prefill_tps,218,0,0,,
__macro__,__all__,z_m,17,,,0.8226940017033344,0.8024610601199736
__macro__,__all__,queue_len,17,,,0.8286323082595974,0.8113436548236274
__macro__,__all__,decode_tps,17,,,0.7209889466381025,0.69360433684919
__macro__,__all__,prefill_tps,17,,,0.7180618534087909,0.6946547161333094
